,id,speaker,text,topic,token,polarity,subjectivity,certainty
159,20,DONALD TRUMP,That's out there,economy,"['that', 'be', 'there']",0.0,0.0,1.0
160,20,DONALD TRUMP,I haven't read it,economy,"['have', 'not', 'read']",0.0,0.0,1.0
161,20,DONALD TRUMP,"I don't want to read it, purposely",economy,"['do', 'not', 'want', 'read', 'purposely']",0.0,0.0,1.0
162,20,DONALD TRUMP,I'm not going to read it,economy,"['be', 'not', 'go', 'read']",0.0,0.0,1.0
163,20,DONALD TRUMP,"This was a group of people that got together, they came up with some ideas",economy,"['this', 'be', 'a', 'group', 'person', 'that', 'get', 'together', 'come', 'up', 'some', 'idea']",0.0,0.0,0.25
164,20,DONALD TRUMP,"I guess some good, some bad",economy,"['guess', 'some', 'good', 'some', 'bad']",5.551115123125783e-17,0.6333333333333333,0.16666666666666666
165,20,DONALD TRUMP,But it makes no difference,economy,"['make', 'no', 'difference']",0.0,0.0,1.0
166,20,DONALD TRUMP,I have nothing to do -- everybody knows I'm an open book,economy,"['have', 'nothing', 'do', 'everybody', 'know', 'be', 'an', 'open', 'book']",0.0,0.5,1.0
167,20,DONALD TRUMP,Everybody knows what I'm going to do,economy,"['everybody', 'know', 'what', 'be', 'go', 'do']",0.0,0.0,0.75
168,20,DONALD TRUMP,Cut taxes very substantially,economy,"['cut', 'take', 'very', 'substantially']",0.2,0.3,1.0
169,20,DONALD TRUMP,And create a great economy like I did before,economy,"['create', 'a', 'great', 'economy', 'do']",0.8,0.75,1.0
170,20,DONALD TRUMP,We had the greatest economy,economy,"['have', 'the', 'greatest', 'economy']",1.0,1.0,1.0
171,20,DONALD TRUMP,We got hit with a pandemic,economy,"['get', 'hit', 'a', 'anaemic']",0.0,0.0,1.0
172,20,DONALD TRUMP,"And the pandemic was, not since 1917 where 100 million people died has there been anything like it? We did a phenomenal job with the pandemic",economy,"['the', 'anaemic', 'be', 'not', '1917', '100', 'million', 'person', 'die', 'have', 'there', 'be', 'anything', 'do', 'a', 'phenomena', 'job', 'the', 'anaemic']",0.0,0.0,0.75
173,20,DONALD TRUMP,We handed them over a country where the economy and where the stock market was higher than it was before the pandemic came in,economy,"['hand', 'a', 'country', 'the', 'economy', 'the', 'stock', 'market', 'be', 'higher', 'be', 'the', 'anaemic', 'come']",0.25,0.5,1.0
